#####################################################################
# Alchemist log file - simulation started at: 2024-04-19T15:35+0000 #
#####################################################################
#
# Algorithm = ff_linpro, CamHerdRatio = 3.0, NumberOfHerds = 4.0, Seed = 15.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceivedNormalized[mean] NoisePerceivedNormalized[variance] NoisePerceived[mean] NoisePerceived[variance] NoisePerceived[percentile90] NoisePerceived[max] BodyCoverage[mean] BodyCoverage[variance] FovDistance[mean] FovDistance[variance] 
0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.009 0.0 0.0 0.0 1.0 NaN NaN 25.0 0.00 25.0 25.0 0.00 0.00 0.00 0.00
1e+01 0.0 0.0 1135.0 2625.4834 NaN NaN 27.3 1.97 29.1 29.5 0.00 0.00 0.00 0.00
2e+01 0.0 0.0 1200.0 2469.6511 NaN NaN 27.8 2.36 29.9 30.4 0.00 0.00 0.00 0.00
3e+01 0.0 0.0 1200.0 2530.271 NaN NaN 28.9 3.64 31.5 32.2 0.00 0.00 0.00 0.00
4e+01 0.0 0.1908 1186.2323 2568.3667 NaN NaN 30.3 9.94 35.2 37.9 0.0379 0.00746 0.124 0.0756
5e+01 0.0763 0.2519 1119.4652 2616.2964 NaN NaN 29.6 17.6 36.9 38.0 0.0943 0.0338 0.169 0.0897
6e+01 0.1374 0.2519 1035.1167 2553.6908 NaN NaN 29.4 26.8 38.2 40.2 0.118 0.0474 0.179 0.101
7e+01 0.2519 0.2519 916.938 2641.6573 NaN NaN 29.4 39.5 40.2 42.4 0.193 0.117 0.200 0.123
8e+01 0.2519 0.2519 852.272 2593.3277 NaN NaN 29.2 45.4 40.8 42.1 0.208 0.134 0.198 0.120
9e+01 0.2519 0.2519 759.2912 2660.5077 NaN NaN 29.3 59.7 42.8 43.5 0.234 0.165 0.214 0.138
1e+02 0.2519 0.2519 606.3567 2600.4404 NaN NaN 29.4 70.0 43.8 44.6 0.244 0.179 0.222 0.149
1e+02 0.2519 0.2519 500.6028 2675.3789 NaN NaN 29.4 78.7 44.7 45.2 0.247 0.183 0.226 0.153
1e+02 0.2519 0.2519 291.2021 2666.7586 NaN NaN 29.5 89.2 45.6 46.6 0.251 0.189 0.225 0.152
1e+02 0.2519 0.2519 321.276 2672.8499 NaN NaN 29.8 106 47.6 49.9 0.252 0.190 0.228 0.156
1e+02 0.2519 0.2519 237.8257 2693.9973 NaN NaN 29.9 115 49.0 51.2 0.251 0.189 0.226 0.153
