#####################################################################
# Alchemist log file - simulation started at: 2024-04-12T13:58+0000 #
#####################################################################
#
# Algorithm = ff_linpro, CamHerdRatio = 2.0, NumberOfHerds = 8.0, Seed = 1.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceived[mean] NoisePerceived[variance] BodyCoverage[mean] BodyCoverage[variance] CentroidQuality[mean] CentroidQuality[variance] 
0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN
0.004885589795766698 0.0 0.0 0.0 4.1231 32.77821683466908 0.0 0.0 0.0 0.0 0.0
5.003659815289689 0.0 0.0 700.0 1238.6004 27.962394676618374 7.860568759316398 0.0 0.0 0.0 0.0
10.003659815289689 0.0 0.0303 800.0 1264.2749 28.25053964438544 10.049588682290159 0.0 0.0 0.0 0.0
15.003659815289689 0.0 0.1288 790.587 1247.1717 28.697713300905694 16.13894709923421 0.03866215546955799 0.010489279849900448 0.09623074048858647 0.06472866997121328
20.003659815289687 0.0379 0.1288 754.5433 1260.6632 28.8460603480215 19.31894953859567 0.04499552941847632 0.014899380711112934 0.09809670293471366 0.06738160487866625
25.003659815289687 0.1288 0.1288 704.0746 1327.9767 29.02630343855024 24.26661395663482 0.06661581354360896 0.03091784685696178 0.10605512117468523 0.07847285905292178
30.003659815289687 0.1288 0.1288 674.4172 1350.3091 29.11846039632168 27.385977863102397 0.07507981845419202 0.04131699137460758 0.10480179622834883 0.07639163919001862
35.00365981528969 0.1288 0.1288 590.0071 1366.0017 29.233384558478296 31.565775701649034 0.09074792490202169 0.05840345798448794 0.10835725332516602 0.08177943483608777
40.00365981528969 0.1288 0.1288 592.2727 1317.7083 29.476245434864463 39.64812206797031 0.09776528156611139 0.06682120742444335 0.1136245038673636 0.08837601007249163
45.00365981528969 0.1288 0.1288 491.9135 1394.1883 29.50225596511635 41.07477340214656 0.12325760515470134 0.10394500826753623 0.11550489153205687 0.09139947160280301
50.00365981528969 0.1288 0.1288 409.219 1371.545 29.575831339012645 44.57702369846673 0.12771162006332257 0.11121133996978252 0.117059974038782 0.09369564670505177
55.00365981528969 0.1288 0.1288 344.4088 1355.1459 29.674491984284106 48.66637065203132 0.12842049368107908 0.11241750657991241 0.11860453579294414 0.09607657680854184
60.00365981528969 0.1288 0.1288 255.9634 1331.2442 29.793787181806525 53.429229505302274 0.12864315008286115 0.11280454103085233 0.11839328657669683 0.09582873202758133
65.0036598152897 0.1288 0.1288 178.5861 1347.7875 29.82501301122008 54.93575084838764 0.12873922598508764 0.1129726950413664 0.1203617240878721 0.09891300801014308
70.0036598152897 0.1288 0.1288 183.3086 1383.3979 29.83315681544248 55.947158095043804 0.12876887061142284 0.11302469533820088 0.1217712922658705 0.10115394806685367
75.0036598152897 0.1288 0.1288 179.3978 1352.0275 29.9012474553867 58.82638948413311 0.128733773560586 0.11296312981785217 0.12147814199879554 0.10071329206189981
80.0036598152897 0.1288 0.1288 259.6617 1344.3919 29.92275827924143 60.94868912173289 0.12872761311362108 0.11295233917180911 0.12108872686082028 0.10008956826047673
85.0036598152897 0.1288 0.1288 247.6727 1359.4041 29.872464456748304 60.28592094209529 0.12870008327159504 0.11290405561122742 0.12191808862908263 0.10143310974450982
90.0036598152897 0.1288 0.1288 204.6069 1350.7164 29.838584010800755 60.280851277626255 0.12872479400022446 0.11294737837337904 0.12115848068691702 0.10016946088533465
95.0036598152897 0.1288 0.1288 254.7841 1377.9886 29.909442049054206 64.34328056244988 0.12872468136451978 0.11294718942502827 0.12158748742024121 0.10087250852330305
100.0036598152897 0.1288 0.1288 232.2966 1387.5804 29.74307148086406 58.87387006161145 0.12870158388319897 0.11290670531500017 0.12124702794372255 0.10029779118963966
105.0036598152897 0.1288 0.1288 275.5431 1374.5712 29.728755836208425 59.18015423525244 0.12874797190023263 0.11298803192096646 0.12188932265689592 0.10134232678572283
110.0036598152897 0.1288 0.1288 216.6896 1448.4781 29.683494241098742 58.12056605287128 0.12872973246673688 0.11295604007754564 0.1223433983574601 0.10210657585494025
115.0036598152897 0.1288 0.1288 176.628 1407.7097 29.614525144731772 56.096660274009686 0.12876153704353882 0.11301183571611217 0.12159991438850982 0.10088812115188209
120.0036598152897 0.1288 0.1288 104.9689 1326.029 29.599737982227207 56.268210146764815 0.12876332809862373 0.11301497466892572 0.12045798071426905 0.0989949639443538
125.0036598152897 0.1288 0.1288 117.7931 1355.6113 29.579150976805792 56.25938161648627 0.12876764136259716 0.11302253754938588 0.12061622635218827 0.09920536564743482
130.0036598152897 0.1288 0.1288 133.9632 1337.5691 29.565944636634757 56.72937402144369 0.12874375966400456 0.11298063618917767 0.12110883275769027 0.10007605814367397
135.0036598152897 0.1288 0.1288 141.7926 1350.087 29.565996837178567 57.44906509462973 0.1285907939009536 0.1127131116714453 0.12152715249902181 0.10075423003421162
140.0036598152897 0.1288 0.1288 133.2381 1459.7011 29.562075100365934 58.32011242194726 0.12855395590279556 0.11264885426862513 0.11992217631848863 0.0981223667017714
145.0036598152897 0.1288 0.1288 147.7863 1384.8204 29.57226306811038 59.759048517612015 0.12812649482575394 0.11190567682112633 0.12076063840955556 0.09951713664939327
150.0036598152897 0.1288 0.1288 132.0142 1389.2225 29.578876899212787 61.20154992908601 0.12773203477754608 0.11122335418997155 0.12050001260702108 0.09907139995150614
155.0036598152897 0.1288 0.1288 141.6184 1351.192 29.561274605236523 61.265404357731185 0.12620151974979185 0.10863963904173372 0.12129093832488387 0.10038348660085464
160.0036598152897 0.1288 0.1288 249.1537 1378.4677 29.565860923211517 62.46747379478585 0.12447631236347832 0.10573982620926713 0.11920420265782829 0.09703676017528297
165.0036598152897 0.1288 0.1288 176.8535 1279.1415 29.522517235112556 62.10103417422481 0.12323118597670948 0.10370544939905055 0.12008714175013385 0.0985160379172794
170.0036598152897 0.1288 0.1288 200.6915 1347.7169 29.555841010423354 64.39444163145815 0.12518287529653968 0.10698391225128764 0.12031353865823263 0.09880499811151854
175.0036598152897 0.1288 0.1288 152.0139 1332.9266 29.52429770425713 64.14681761888326 0.1252833678396077 0.10712951191965817 0.12031176286954212 0.0987407536230092
