#####################################################################
# Alchemist log file - simulation started at: 2024-04-19T15:40+0000 #
#####################################################################
#
# Algorithm = bc_re_c, CamHerdRatio = 3.0, NumberOfHerds = 4.0, Seed = 16.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceivedNormalized[mean] NoisePerceivedNormalized[variance] NoisePerceived[mean] NoisePerceived[variance] NoisePerceived[percentile90] NoisePerceived[max] BodyCoverage[mean] BodyCoverage[variance] FovDistance[mean] FovDistance[variance] 
0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.009 0.0 0.0 0.0 4.4721 NaN NaN 25.3 0.00 25.3 25.3 0.00 0.00 0.00 0.00
1e+01 0.0 0.0 1135.0 2526.2288 NaN NaN 25.8 0.714 27.0 27.3 0.00 0.00 0.00 0.00
2e+01 0.0 0.0 1200.0 2476.0252 NaN NaN 26.2 0.655 27.2 27.5 0.00 0.00 0.00 0.00
3e+01 0.0 0.0 1200.0 2337.2311 NaN NaN 26.8 0.667 27.7 28.0 0.00 0.00 0.00 0.00
4e+01 0.0 0.0 1200.0 2423.8548 NaN NaN 27.6 0.903 28.6 28.9 0.00 0.00 0.00 0.00
5e+01 0.0 0.0 1200.0 2471.0564 NaN NaN 28.8 1.32 30.0 30.6 0.00 0.00 0.00 0.00
6e+01 0.0 0.1339 1200.0 2507.8589 NaN NaN 29.9 5.46 33.7 36.9 0.0319 0.00738 0.0874 0.0560
7e+01 0.0 0.2205 1160.3598 2604.8803 NaN NaN 30.2 15.2 36.2 41.0 0.0470 0.00812 0.161 0.0901
8e+01 0.0 0.2047 1175.9577 2580.5653 NaN NaN 29.7 21.4 37.4 41.3 0.0352 0.00472 0.154 0.0869
9e+01 0.2205 0.2441 1179.0171 2631.7707 NaN NaN 29.7 40.7 40.2 45.9 0.144 0.0878 0.167 0.105
1e+02 0.2598 0.2598 1112.7696 2596.5799 NaN NaN 30.0 71.9 45.3 48.1 0.185 0.104 0.157 0.0860
1e+02 0.2126 0.2598 1085.685 2531.4632 NaN NaN 29.3 73.4 43.4 48.1 0.172 0.0898 0.163 0.0917
1e+02 0.2362 0.2598 1102.2532 2497.3917 NaN NaN 28.8 75.3 43.0 47.2 0.218 0.149 0.158 0.0861
1e+02 0.2598 0.2598 1046.9135 2485.8844 NaN NaN 28.6 86.1 43.8 47.7 0.251 0.182 0.167 0.0920
1e+02 0.2598 0.2598 967.9222 2614.2179 NaN NaN 28.8 108 46.3 48.7 0.235 0.161 0.176 0.104
2e+02 0.2598 0.2598 1044.5982 2587.1485 NaN NaN 23.3 260 45.0 48.9 0.228 0.150 0.171 0.0989
2e+02 0.2598 0.2598 1063.8097 2583.7292 NaN NaN 23.4 272 46.3 48.5 0.244 0.172 0.205 0.127
2e+02 0.2598 0.2598 982.4916 2526.4791 NaN NaN 23.1 267 46.5 48.9 0.255 0.186 0.211 0.131
2e+02 0.2598 0.2598 931.0302 2539.8433 NaN NaN 23.2 278 48.0 49.5 0.256 0.188 0.209 0.131
2e+02 0.2598 0.2598 926.0519 2559.2742 NaN NaN 23.2 284 48.1 49.6 0.258 0.192 0.213 0.133
2e+02 0.2598 0.2598 867.9125 2415.1536 NaN NaN 23.1 285 48.5 49.5 0.259 0.192 0.214 0.135
2e+02 0.2598 0.2598 967.4818 2681.1902 NaN NaN 22.9 280 47.1 49.1 0.255 0.187 0.201 0.124
2e+02 0.2598 0.2598 1003.9229 2585.9997 NaN NaN 21.9 304 47.2 48.3 0.256 0.188 0.226 0.148
2e+02 0.2598 0.2598 964.6565 2542.1183 NaN NaN 20.1 346 47.0 49.8 0.254 0.185 0.163 0.0931
2e+02 0.2598 0.2598 851.7971 2657.9514 NaN NaN 19.7 358 47.4 48.7 0.252 0.183 0.171 0.101
3e+02 0.2598 0.2598 756.6506 2588.5941 NaN NaN 19.0 359 46.8 49.8 0.256 0.189 0.214 0.137
3e+02 0.2598 0.2598 900.2393 2578.5658 NaN NaN 18.7 368 46.9 48.4 0.254 0.186 0.170 0.0985
3e+02 0.2598 0.2598 912.59 2579.7586 NaN NaN 17.6 376 46.4 49.4 0.253 0.184 0.207 0.128
3e+02 0.2598 0.2598 1037.8189 2550.4839 NaN NaN 17.5 378 46.7 48.0 0.254 0.186 0.207 0.131
3e+02 0.2598 0.2598 950.1389 2686.9277 NaN NaN 17.4 372 46.7 47.9 0.254 0.186 0.205 0.125
3e+02 0.2598 0.2598 795.0801 2565.8671 NaN NaN 17.5 379 47.1 48.9 0.251 0.182 0.217 0.138
3e+02 0.2598 0.2598 917.5895 2522.8854 NaN NaN 17.2 366 46.5 47.3 0.244 0.173 0.194 0.123
3e+02 0.2598 0.2598 891.4982 2480.75 NaN NaN 17.5 383 47.7 49.4 0.245 0.175 0.197 0.116
3e+02 0.2598 0.2598 929.6167 2534.2551 NaN NaN 17.2 368 46.4 47.7 0.255 0.187 0.206 0.127
3e+02 0.2598 0.2598 823.1639 2546.2846 NaN NaN 17.0 362 46.3 46.9 0.252 0.183 0.202 0.122
