#####################################################################
# Alchemist log file - simulation started at: 2024-04-19T14:28+0000 #
#####################################################################
#
# Algorithm = ff_linpro, CamHerdRatio = 3.0, NumberOfHerds = 8.0, Seed = 4.0
#
# The columns have the following meaning: 
# time 2-coverage 1-coverage CamDist ObjDist NoisePerceivedNormalized[mean] NoisePerceivedNormalized[variance] NoisePerceived[mean] NoisePerceived[variance] NoisePerceived[percentile90] NoisePerceived[max] BodyCoverage[mean] BodyCoverage[variance] FovDistance[mean] FovDistance[variance] 
0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.003 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1e+01 0.0593 0.1333 2245.0 2516.9618 NaN NaN 30.1 17.9 38.8 41.2 0.0352 0.00950 0.0810 0.0509
2e+01 0.1333 0.1333 2204.7684 2557.6895 NaN NaN 30.7 38.3 43.8 46.4 0.0978 0.0630 0.114 0.0871
3e+01 0.1333 0.1333 1763.8936 2647.2441 NaN NaN 30.9 50.8 46.2 48.0 0.111 0.0831 0.123 0.0988
4e+01 0.1333 0.1333 1443.8127 2658.6747 NaN NaN 31.2 66.4 48.0 52.2 0.127 0.106 0.124 0.101
5e+01 0.1333 0.1333 1122.8587 2841.2661 NaN NaN 31.4 74.5 49.4 53.1 0.131 0.113 0.125 0.102
6e+01 0.1333 0.1333 815.0321 2687.9987 NaN NaN 31.5 79.0 50.4 51.7 0.133 0.116 0.127 0.106
7e+01 0.1704 0.2593 956.5997 2815.6424 NaN NaN 31.8 87.1 51.1 52.7 0.179 0.119 0.218 0.142
8e+01 0.2593 0.2593 904.0612 2757.3896 NaN NaN 31.9 91.9 50.8 53.7 0.188 0.123 0.219 0.144
9e+01 0.2593 0.2593 751.1778 2812.294 NaN NaN 31.8 88.5 50.7 52.7 0.187 0.122 0.219 0.144
1e+02 0.2593 0.2593 673.4886 2717.2648 NaN NaN 31.9 93.7 51.1 54.4 0.185 0.121 0.215 0.141
1e+02 0.2593 0.2593 815.0974 2737.7735 NaN NaN 31.9 93.5 51.8 53.6 0.187 0.122 0.215 0.140
1e+02 0.2593 0.2593 878.1239 2730.321 NaN NaN 31.8 92.9 51.1 54.6 0.186 0.118 0.213 0.139
1e+02 0.2519 0.2593 836.8593 2703.8317 NaN NaN 31.9 97.5 52.9 54.5 0.184 0.118 0.206 0.134
1e+02 0.237 0.2519 934.9388 2779.6422 NaN NaN 31.8 92.7 51.5 54.5 0.177 0.114 0.202 0.133
2e+02 0.2074 0.2444 991.144 2802.9928 NaN NaN 31.8 95.6 52.4 54.8 0.166 0.109 0.191 0.126
2e+02 0.1926 0.2296 916.8281 2753.9143 NaN NaN 31.7 92.9 51.2 55.5 0.162 0.113 0.184 0.126
2e+02 0.1852 0.2074 979.7132 2743.7708 NaN NaN 31.8 97.6 53.4 55.0 0.139 0.0908 0.168 0.118
2e+02 0.1852 0.1926 978.1812 2769.9782 NaN NaN 31.8 98.5 53.5 55.6 0.133 0.0890 0.163 0.118
2e+02 0.2 0.2148 1074.0345 2805.2305 NaN NaN 31.7 95.6 51.5 56.2 0.129 0.0791 0.181 0.128
2e+02 0.2 0.2148 1103.5007 2739.0812 NaN NaN 31.8 96.7 52.7 55.3 0.143 0.100 0.180 0.125
2e+02 0.1926 0.2148 1046.7147 2765.6057 NaN NaN 31.7 91.7 52.3 54.3 0.139 0.101 0.183 0.130
2e+02 0.2148 0.2222 1159.4998 2700.2065 NaN NaN 31.8 95.6 53.3 54.3 0.143 0.107 0.188 0.130
2e+02 0.2074 0.2296 974.753 2836.3261 NaN NaN 31.7 93.2 52.6 54.2 0.134 0.0959 0.196 0.136
2e+02 0.2148 0.2296 825.4949 2752.2546 NaN NaN 31.7 93.4 52.9 54.5 0.138 0.104 0.195 0.134
3e+02 0.2222 0.2444 724.7993 2850.8106 NaN NaN 31.6 91.7 52.2 55.0 0.142 0.106 0.206 0.139
3e+02 0.1852 0.237 615.7506 2715.8663 NaN NaN 31.7 93.9 52.9 54.3 0.142 0.109 0.201 0.137
3e+02 0.1704 0.2296 743.5432 2806.0209 NaN NaN 31.5 89.3 52.0 54.2 0.143 0.112 0.193 0.132
3e+02 0.1704 0.2148 695.0343 2716.8853 NaN NaN 31.4 87.3 51.2 54.6 0.143 0.114 0.188 0.131
3e+02 0.1704 0.2074 768.016 2702.381 NaN NaN 31.5 93.4 52.9 54.3 0.138 0.108 0.178 0.127
3e+02 0.1852 0.2 852.5842 2748.8803 NaN NaN 31.3 88.1 51.5 54.4 0.133 0.102 0.177 0.129
3e+02 0.163 0.1926 771.4549 2793.8388 NaN NaN 31.3 91.1 52.3 54.1 0.129 0.0982 0.169 0.124
3e+02 0.163 0.1852 763.4885 2747.1837 NaN NaN 31.2 88.8 51.7 54.6 0.124 0.0932 0.162 0.120
3e+02 0.1704 0.1778 940.5843 2739.2168 NaN NaN 31.2 89.1 51.5 54.8 0.129 0.101 0.159 0.120
3e+02 0.1704 0.1852 1050.0973 2813.6521 NaN NaN 31.2 90.6 50.9 55.4 0.134 0.107 0.165 0.119
4e+02 0.1852 0.1926 812.005 2752.6959 NaN NaN 31.3 94.3 51.2 56.0 0.149 0.109 0.167 0.122
4e+02 0.1852 0.2296 879.3267 2808.7542 NaN NaN 31.3 98.1 53.3 54.1 0.168 0.111 0.169 0.122
4e+02 0.2 0.2296 941.1067 2722.6711 NaN NaN 31.3 95.0 51.7 54.0 0.165 0.116 0.194 0.133
4e+02 0.2 0.2148 611.3158 2811.0787 NaN NaN 31.2 96.2 52.3 54.0 0.151 0.102 0.192 0.135
4e+02 0.1926 0.2148 498.5461 2720.0962 NaN NaN 31.1 95.0 51.8 53.8 0.134 0.0839 0.189 0.135
4e+02 0.1926 0.2148 414.1669 2782.1772 NaN NaN 31.1 95.4 51.8 54.1 0.127 0.0783 0.187 0.134
4e+02 0.1852 0.2074 529.253 2703.1344 NaN NaN 31.1 96.7 51.9 54.7 0.124 0.0759 0.183 0.133
4e+02 0.2 0.2074 580.9102 2747.3916 NaN NaN 31.0 96.8 52.4 53.9 0.143 0.103 0.185 0.135
4e+02 0.2 0.2074 541.1567 2827.4563 NaN NaN 30.8 91.1 50.8 53.8 0.145 0.108 0.184 0.133
4e+02 0.2 0.2 545.5713 2852.6655 NaN NaN 30.7 89.9 50.6 53.8 0.143 0.111 0.176 0.127
5e+02 0.2 0.2074 757.9438 2765.0291 NaN NaN 30.7 92.0 51.1 53.4 0.143 0.109 0.185 0.134
5e+02 0.2074 0.2148 809.5558 2799.6831 NaN NaN 30.8 98.7 52.5 54.2 0.140 0.103 0.191 0.137
5e+02 0.2 0.2148 851.5771 2829.2571 NaN NaN 30.7 95.1 51.7 54.3 0.135 0.0935 0.191 0.137
5e+02 0.1926 0.2148 876.3061 2876.5672 NaN NaN 30.6 95.7 52.0 55.2 0.146 0.112 0.188 0.135
5e+02 0.2074 0.2074 829.9334 2702.747 NaN NaN 30.5 92.5 51.0 54.8 0.145 0.112 0.184 0.133
5e+02 0.2074 0.2222 727.9495 2803.7444 NaN NaN 30.5 94.0 50.9 54.2 0.136 0.0936 0.194 0.138
5e+02 0.2148 0.2296 671.9186 2728.4296 NaN NaN 30.5 97.0 51.0 54.4 0.103 0.0485 0.201 0.141
5e+02 0.2148 0.2222 676.537 2812.7851 NaN NaN 30.5 97.9 51.7 54.7 0.124 0.0776 0.193 0.136
5e+02 0.2074 0.2148 810.557 2758.2209 NaN NaN 30.4 98.1 51.9 54.6 0.129 0.0875 0.185 0.131
5e+02 0.2148 0.2148 870.7992 2775.2413 NaN NaN 30.4 102 52.4 54.8 0.135 0.0969 0.190 0.132
6e+02 0.2148 0.2222 748.1624 2690.1679 NaN NaN 30.3 99.6 51.7 54.0 0.141 0.107 0.192 0.136
6e+02 0.2148 0.237 754.8524 2712.3059 NaN NaN 30.3 103 51.7 55.1 0.142 0.106 0.205 0.140
6e+02 0.2 0.237 599.613 2729.8658 NaN NaN 30.2 99.3 51.2 54.6 0.145 0.112 0.206 0.143
6e+02 0.2222 0.237 726.6402 2749.2929 NaN NaN 30.2 102 51.5 55.0 0.128 0.0864 0.206 0.143
6e+02 0.2074 0.237 630.6611 2744.9226 NaN NaN 30.1 101 51.5 54.7 0.142 0.108 0.202 0.137
6e+02 0.2074 0.2296 594.7706 2719.5952 NaN NaN 30.1 107 53.1 53.9 0.141 0.107 0.200 0.137
6e+02 0.2074 0.2296 788.3177 2788.3998 NaN NaN 30.0 102 52.2 53.6 0.137 0.102 0.198 0.137
6e+02 0.1926 0.2444 749.1462 2747.0243 NaN NaN 30.0 106 52.6 54.2 0.145 0.112 0.204 0.139
6e+02 0.1926 0.237 820.1319 2672.3114 NaN NaN 29.9 104 52.1 54.2 0.138 0.102 0.204 0.140
6e+02 0.2 0.2222 900.9799 2823.7837 NaN NaN 29.9 106 52.6 54.8 0.127 0.0885 0.195 0.138
7e+02 0.2148 0.2148 1013.4168 2847.0914 NaN NaN 29.9 106 52.2 54.7 0.135 0.101 0.193 0.136
7e+02 0.2222 0.2296 953.2049 2766.4968 NaN NaN 29.9 106 51.9 55.0 0.140 0.108 0.201 0.141
7e+02 0.237 0.2444 745.6993 2918.9146 NaN NaN 29.9 107 51.7 55.3 0.140 0.105 0.211 0.148
7e+02 0.237 0.2593 631.1292 2764.2977 NaN NaN 29.9 107 52.0 54.3 0.134 0.0909 0.224 0.150
7e+02 0.2296 0.2593 541.8503 2754.8148 NaN NaN 29.9 107 51.8 54.1 0.130 0.0855 0.225 0.152
7e+02 0.237 0.2444 801.0592 2895.845 NaN NaN 30.0 113 53.1 54.6 0.144 0.108 0.217 0.151
7e+02 0.237 0.2444 935.0211 2807.589 NaN NaN 29.9 109 52.6 53.7 0.144 0.109 0.215 0.146
7e+02 0.2444 0.2444 890.6205 2638.5001 NaN NaN 30.0 112 52.7 54.6 0.144 0.108 0.214 0.146
7e+02 0.2444 0.2444 768.6524 2777.4375 NaN NaN 29.9 109 52.4 53.9 0.127 0.0846 0.216 0.148
7e+02 0.2444 0.2444 513.883 2635.1469 NaN NaN 29.9 107 52.0 54.1 0.132 0.0909 0.213 0.145
8e+02 0.2444 0.2444 492.3623 2753.6872 NaN NaN 29.9 105 51.9 53.3 0.113 0.0669 0.209 0.141
8e+02 0.2222 0.237 505.6761 2808.6351 NaN NaN 29.7 101 51.1 53.8 0.116 0.0714 0.202 0.139
8e+02 0.1926 0.2148 458.9344 2706.3404 NaN NaN 29.7 99.9 51.2 53.5 0.112 0.0695 0.183 0.129
8e+02 0.2 0.2074 431.9001 2739.2828 NaN NaN 29.6 97.4 50.8 53.1 0.114 0.0730 0.178 0.126
8e+02 0.2074 0.2222 619.1881 2767.6187 NaN NaN 29.7 96.2 50.5 52.5 0.113 0.0694 0.190 0.132
8e+02 0.1926 0.2148 758.5534 2709.2104 NaN NaN 29.7 98.7 50.5 53.2 0.140 0.109 0.189 0.131
8e+02 0.1926 0.2222 549.8269 2784.4838 NaN NaN 29.8 99.8 50.8 53.9 0.124 0.0824 0.189 0.131
8e+02 0.2 0.2296 458.2909 2745.3676 NaN NaN 29.9 101 51.3 53.8 0.117 0.0730 0.191 0.132
8e+02 0.2148 0.2222 470.2698 2751.4487 NaN NaN 30.1 108 52.2 54.3 0.0943 0.0519 0.189 0.132
8e+02 0.2148 0.2296 494.1955 2778.5733 NaN NaN 30.2 111 52.8 54.2 0.0893 0.0423 0.197 0.136
9e+02 0.1926 0.237 482.7474 2826.941 NaN NaN 30.2 109 52.4 54.1 0.0833 0.0348 0.198 0.138
9e+02 0.2 0.2 598.5925 2777.4173 NaN NaN 30.2 110 52.6 55.2 0.0843 0.0362 0.182 0.126
9e+02 0.1926 0.2074 592.9807 2669.1107 NaN NaN 30.2 109 52.1 55.3 0.0797 0.0356 0.171 0.123
9e+02 0.2074 0.2222 530.335 2702.1836 NaN NaN 30.3 112 52.2 54.8 0.0954 0.0438 0.191 0.134
9e+02 0.2074 0.2222 774.4669 2777.5128 NaN NaN 30.5 117 53.1 55.0 0.121 0.0732 0.190 0.133
9e+02 0.2222 0.2296 778.3831 2674.8356 NaN NaN 30.5 113 51.9 54.7 0.109 0.0532 0.196 0.136
9e+02 0.2074 0.2222 715.635 2681.82 NaN NaN 30.4 111 51.1 54.7 0.139 0.0962 0.190 0.136
9e+02 0.2 0.2222 895.6362 2758.0542 NaN NaN 30.5 117 52.6 55.3 0.143 0.0999 0.189 0.132
9e+02 0.2 0.2074 767.6722 2788.0554 NaN NaN 30.5 115 52.1 54.3 0.147 0.110 0.180 0.129
9e+02 0.2148 0.2148 756.5277 2828.6617 NaN NaN 30.6 120 52.8 54.1 0.152 0.112 0.185 0.130
1e+03 0.2222 0.2222 962.398 2714.6811 NaN NaN 30.8 127 53.2 55.5 0.149 0.104 0.188 0.129
1e+03 0.2296 0.2444 916.0278 2704.2147 NaN NaN 30.8 125 52.1 54.7 0.156 0.106 0.178 0.168
1e+03 0.2074 0.2519 875.0161 2740.3215 NaN NaN 30.8 127 52.2 54.5 0.162 0.115 0.182 0.161
1e+03 0.2519 0.2815 780.146 2817.059 NaN NaN 30.1 147 50.7 55.3 0.182 0.118 0.128 0.218
1e+03 0.2667 0.3333 598.1737 2792.4605 NaN NaN 29.3 186 50.5 54.5 0.191 0.112 0.0948 0.263
1e+03 0.2741 0.3333 430.1533 2720.6417 NaN NaN 28.4 219 50.0 54.2 0.197 0.112 0.0679 0.269
1e+03 0.2889 0.3259 574.7805 2737.1004 NaN NaN 28.5 222 50.4 54.4 0.191 0.111 0.0847 0.228
1e+03 0.2593 0.3556 410.8564 2760.1326 NaN NaN 28.4 231 50.8 54.6 0.195 0.111 0.0932 0.265
1e+03 0.2074 0.3481 599.7983 2687.3258 NaN NaN 27.7 251 51.1 54.5 0.173 0.0855 0.0722 0.286
1e+03 0.2074 0.3185 517.3636 2731.3978 NaN NaN 26.9 263 50.1 53.7 0.162 0.0808 0.0576 0.307
1e+03 0.2074 0.2741 534.3792 2652.5619 NaN NaN 26.3 285 50.8 54.7 0.142 0.0741 0.105 0.258
1e+03 0.2074 0.2222 697.5832 2782.388 NaN NaN 25.8 299 50.9 54.8 0.114 0.0682 0.186 0.132
1e+03 0.2148 0.2444 662.5391 2638.6629 NaN NaN 25.8 302 52.3 53.4 0.122 0.0693 0.209 0.142
1e+03 0.2148 0.2519 819.4645 2640.9217 NaN NaN 25.8 305 52.9 54.6 0.125 0.0690 0.219 0.147
1e+03 0.2148 0.2444 800.0421 2847.4464 NaN NaN 25.6 296 52.1 54.9 0.140 0.0873 0.214 0.146
1e+03 0.2074 0.237 766.8135 2880.5764 NaN NaN 25.3 290 51.8 53.8 0.137 0.0807 0.209 0.146
1e+03 0.2074 0.237 795.1121 2744.2981 NaN NaN 25.3 289 52.0 54.2 0.154 0.102 0.205 0.142
1e+03 0.2074 0.237 764.7743 2804.2773 NaN NaN 25.1 283 51.2 54.7 0.140 0.0809 0.203 0.140
1e+03 0.2074 0.2296 659.7918 2667.7131 NaN NaN 24.9 278 50.9 54.2 0.141 0.0850 0.199 0.139
1e+03 0.2 0.2148 683.2431 2746.0655 NaN NaN 24.8 275 51.0 53.6 0.131 0.0770 0.188 0.134
1e+03 0.2 0.237 611.1565 2763.7717 NaN NaN 24.7 273 50.5 53.4 0.145 0.0887 0.195 0.133
1e+03 0.1926 0.2222 466.581 2705.4487 NaN NaN 24.6 268 50.2 53.2 0.135 0.0815 0.190 0.132
1e+03 0.2074 0.2148 449.1066 2680.7181 NaN NaN 24.6 271 50.6 53.1 0.134 0.0810 0.180 0.125
1e+03 0.2148 0.2148 492.0818 2786.5681 NaN NaN 24.5 269 50.6 52.9 0.140 0.0893 0.183 0.128
1e+03 0.2074 0.237 560.8274 2695.3183 NaN NaN 24.6 273 51.3 53.0 0.152 0.0993 0.199 0.136
1e+03 0.2222 0.2222 643.0704 2726.6305 NaN NaN 24.6 271 50.7 53.4 0.155 0.107 0.199 0.138
1e+03 0.2148 0.237 697.6429 2750.9381 NaN NaN 24.6 276 51.8 53.2 0.160 0.114 0.205 0.138
1e+03 0.2296 0.2519 743.4524 2677.2407 NaN NaN 24.6 272 50.9 53.6 0.159 0.111 0.216 0.142
1e+03 0.237 0.2444 871.3098 2820.211 NaN NaN 24.7 282 52.5 54.9 0.149 0.104 0.208 0.140
1e+03 0.2296 0.2296 678.5807 2802.5332 NaN NaN 24.7 283 52.4 55.9 0.145 0.101 0.195 0.135
1e+03 0.2148 0.2296 718.2595 2796.8193 NaN NaN 24.6 280 52.1 55.3 0.140 0.0958 0.199 0.140
1e+03 0.2074 0.2148 890.0191 2844.0579 NaN NaN 24.5 282 52.3 55.9 0.130 0.0841 0.194 0.138
1e+03 0.2 0.2222 700.7527 2626.842 NaN NaN 24.5 278 52.5 54.7 0.126 0.0813 0.192 0.136
1e+03 0.2 0.2222 681.5203 2740.7415 NaN NaN 24.4 278 52.1 54.6 0.120 0.0679 0.195 0.136
1e+03 0.2074 0.2148 527.1387 2716.4457 NaN NaN 24.3 273 51.6 55.0 0.125 0.0742 0.185 0.132
1e+03 0.1926 0.2148 529.9435 2720.653 NaN NaN 24.3 273 51.7 54.4 0.140 0.0936 0.186 0.134
1e+03 0.2 0.2074 513.2538 2799.7353 NaN NaN 24.2 268 51.0 54.1 0.151 0.114 0.178 0.131
1e+03 0.1926 0.2 457.9762 2809.3342 NaN NaN 24.1 266 50.7 53.6 0.149 0.110 0.179 0.132
1e+03 0.2074 0.2148 400.5913 2704.3891 NaN NaN 24.1 267 50.9 53.5 0.151 0.108 0.190 0.136
1e+03 0.2148 0.2222 428.6191 2718.0863 NaN NaN 24.2 270 51.0 54.1 0.151 0.106 0.195 0.139
1e+03 0.2222 0.2296 370.0372 2759.7116 NaN NaN 24.1 268 50.9 53.6 0.150 0.104 0.197 0.138
1e+03 0.2148 0.2222 457.1711 2697.039 NaN NaN 24.1 268 51.0 53.6 0.144 0.100 0.192 0.136
1e+03 0.2148 0.2296 616.9868 2807.4176 NaN NaN 24.9 240 50.4 53.3 0.150 0.113 0.193 0.137
1e+03 0.2148 0.2222 538.8796 2715.3725 NaN NaN 26.4 194 50.3 54.0 0.148 0.114 0.196 0.140
1e+03 0.2074 0.2222 666.6522 2829.8096 NaN NaN 26.5 197 51.3 54.0 0.146 0.114 0.189 0.133
1e+03 0.2148 0.2296 612.799 2731.622 NaN NaN 26.5 197 51.4 53.7 0.143 0.111 0.199 0.138
1e+03 0.2222 0.237 594.5956 2683.0455 NaN NaN 26.4 194 50.5 54.4 0.145 0.113 0.205 0.140
1e+03 0.2148 0.237 646.5979 2831.5608 NaN NaN 26.6 200 51.4 54.4 0.142 0.108 0.210 0.144
1e+03 0.2296 0.237 709.0994 2744.0399 NaN NaN 26.6 204 52.1 54.1 0.131 0.0933 0.203 0.138
1e+03 0.2148 0.2296 513.1955 2838.7216 NaN NaN 26.4 195 50.6 53.6 0.143 0.112 0.198 0.138
1e+03 0.2222 0.2296 620.2934 2811.2958 NaN NaN 26.4 195 50.6 53.5 0.136 0.100 0.199 0.139
1e+03 0.2148 0.2148 583.1277 2735.0555 NaN NaN 26.3 195 51.1 52.9 0.130 0.0938 0.188 0.135
1e+03 0.2148 0.2222 745.6927 2740.2358 NaN NaN 26.5 202 52.2 54.6 0.129 0.0907 0.193 0.136
1e+03 0.2222 0.2296 753.4264 2707.9026 NaN NaN 26.4 198 51.3 53.9 0.137 0.103 0.196 0.136
1e+03 0.2074 0.2222 524.032 2725.4478 NaN NaN 26.2 191 50.3 53.0 0.130 0.0936 0.190 0.134
2e+03 0.2074 0.2296 504.301 2840.9868 NaN NaN 26.3 195 50.6 53.7 0.130 0.0904 0.197 0.136
2e+03 0.2148 0.2296 695.8462 2845.6381 NaN NaN 26.4 203 51.8 54.6 0.111 0.0665 0.198 0.136
2e+03 0.2222 0.2444 866.3219 2812.2082 NaN NaN 26.4 204 52.4 53.7 0.143 0.108 0.209 0.142
2e+03 0.2222 0.237 663.3264 2796.3816 NaN NaN 26.4 201 51.8 54.3 0.143 0.109 0.206 0.143
2e+03 0.2519 0.2593 628.6716 2739.23 NaN NaN 26.4 202 51.0 54.7 0.146 0.109 0.223 0.149
2e+03 0.2444 0.2593 771.6123 2823.1585 NaN NaN 26.5 207 52.2 55.0 0.135 0.0922 0.223 0.148
2e+03 0.2519 0.2519 725.7758 2793.4008 NaN NaN 26.5 209 51.7 55.7 0.122 0.0743 0.221 0.150
2e+03 0.2519 0.2593 684.1329 2748.9707 NaN NaN 26.4 201 49.7 55.5 0.145 0.106 0.226 0.152
2e+03 0.2593 0.2593 591.2376 2822.9353 NaN NaN 26.4 203 50.0 55.9 0.135 0.0940 0.223 0.148
2e+03 0.2593 0.2593 697.0543 2721.9798 NaN NaN 26.4 206 51.4 55.4 0.137 0.0924 0.224 0.149
2e+03 0.2444 0.2593 630.5478 2773.534 NaN NaN 26.4 210 51.8 56.1 0.132 0.0836 0.224 0.148
2e+03 0.2444 0.2593 599.3093 2789.1865 NaN NaN 26.5 216 52.4 55.9 0.126 0.0739 0.226 0.152
2e+03 0.237 0.2519 598.4989 2796.5849 NaN NaN 26.3 208 51.7 55.3 0.129 0.0801 0.223 0.153
2e+03 0.2222 0.2444 567.0985 2790.2726 NaN NaN 26.1 199 50.4 54.7 0.131 0.0846 0.214 0.147
2e+03 0.2222 0.237 433.1025 2776.952 NaN NaN 26.7 171 50.1 55.1 0.116 0.0674 0.210 0.147
2e+03 0.2222 0.237 417.4519 2786.2993 NaN NaN 28.1 124 49.6 55.1 0.117 0.0698 0.205 0.142
2e+03 0.2222 0.2296 388.9364 2671.8961 NaN NaN 28.3 112 49.1 55.3 0.109 0.0600 0.202 0.142
2e+03 0.2222 0.2222 370.2098 2744.838 NaN NaN 28.3 112 48.6 55.5 0.104 0.0561 0.195 0.139
2e+03 0.2222 0.2222 385.3981 2776.2071 NaN NaN 28.3 111 48.2 56.0 0.102 0.0532 0.198 0.142
2e+03 0.2148 0.237 515.9466 2768.3226 NaN NaN 28.4 114 49.3 55.6 0.106 0.0584 0.205 0.141
2e+03 0.2222 0.2296 497.2749 2784.6115 NaN NaN 28.4 114 49.5 55.0 0.111 0.0636 0.203 0.143
2e+03 0.2296 0.2444 484.5267 2616.108 NaN NaN 28.4 113 48.7 55.0 0.107 0.0572 0.209 0.141
2e+03 0.2222 0.237 491.9092 2707.6028 NaN NaN 28.5 117 50.0 54.7 0.107 0.0586 0.207 0.140
2e+03 0.2148 0.2296 501.6163 2726.6686 NaN NaN 28.5 116 50.5 55.6 0.104 0.0578 0.194 0.137
2e+03 0.2074 0.2222 606.6077 2762.4569 NaN NaN 28.5 117 51.4 55.2 0.101 0.0531 0.196 0.139
2e+03 0.2074 0.2222 488.5783 2709.1268 NaN NaN 28.4 114 50.2 55.1 0.101 0.0527 0.192 0.135
2e+03 0.2074 0.2222 576.0705 2801.8468 NaN NaN 28.5 113 50.6 55.3 0.115 0.0717 0.190 0.132
2e+03 0.1926 0.2222 539.6855 2759.7151 NaN NaN 28.4 111 50.7 55.4 0.111 0.0654 0.188 0.131
2e+03 0.2 0.2222 401.076 2771.8633 NaN NaN 28.4 108 50.5 54.3 0.111 0.0655 0.195 0.138
2e+03 0.2148 0.2222 541.841 2742.3954 NaN NaN 28.5 111 50.5 54.8 0.112 0.0658 0.198 0.139
2e+03 0.2074 0.2296 459.3689 2717.4397 NaN NaN 28.5 111 51.2 54.4 0.119 0.0755 0.197 0.137
#####################################################################
# End of data export. Simulation finished at: 2024-04-19T15:12+0000 #
#####################################################################
